     read       raw corrected
       id    length    length
--------- --------- ---------
     1338      3981      3906
     1339      9106      8817
     1340      1403      1341
     1341        98        98
     1342     15216     15181
     1343      1411      1382
     1345      1142      1132
     1346     16440     16155
     1347      1073      1073
     1348      2529      2522
     1349      3347      3333
     1350     11911     11525
     1351      4581      4550
     1352       679       666
     1353      3093      2981
     1354       386       386
     1355      6438      6376
     1356       171       171
     1357      3396      3360
     1358      9157      9065
     1359      1706      1666
     1360      5803      5624
     1361      6062      5931
     1362      6721      6493
     1363      8498      8111
     1364      6562      6516
     1365      1573      1573
     1366      1217      1215
     1367     30077     30022
     1368      3947      3831
     1369      1400      1374
     1371     10487     10172
     1372      7446      7423
     1373      5032      4974
     1374      1348      1322
     1375       880       853
     1376      3952      3781
     1377      5870      5812
     1378      2050      2047
     1379      5307      5112
     1380       828       813
     1381      6016      5986
     1382     16046     16016
     1383       707       701
     1384      2010      1989
     1385       935       935
     1387       738       727
     1388       845       833
     1389       564       564
     1390     21955     21552
     1391      3280      3189
     1392     15938     15856
     1393      5251      5112
     1394      7394      7137
     1395       291       291
     1396      1301      1266
     1397      1306      1269
     1398       296       296
     1399      1116      1091
     1400      1500      1486
     1402       379       379
     1403       346       339
     1405     12274     11912
     1406      1158      1158
     1408      2059      2050
     1409     32840     32598
     1410      1314      1296
     1411      1322      1317
     1412      4525      4525
     1413      1839      1813
     1414      5747      5577
     1416       412       407
     1419      1405      1394
     1420      2377      2329
     1421     17863     17391
     1422      1619      1593
     1423      1378      1363
     1425       519       509
     1426       198       198
     1427      3116      3066
     1428       438       427
     1429      3933      3927
     1430       803       803
     1431      4396      4321
     1432       734       717
     1435      3658      3545
     1436      1353      1354
     1437       123       123
     1438      7924      7868
     1439       903       895
     1440      6929      6898
     1441       773       743
     1442       435       433
     1443     11823     11733
     1444      4897      4850
     1447      2224      2189
     1448      2482      2475
     1449      3011      2926
     1450       675       672
     1451      6317      6329
     1452       670       662
     1453      3601      3509
     1454      1045      1067
     1455       510       510
     1456     12812     12365
     1457       658       658
     1459      2600      2589
     1460      1835      1808
     1461       936       934
     1462      6895      6806
     1463      1531      1501
     1464      3755      3754
     1465      4000      3959
     1466      1565      1553
     1467      2043      2045
     1468      2331      2305
     1469      4066      4050
     1470      6253      6168
     1471      1883      1858
     1472       643       642
     1473      1715      1709
     1474     32122     31322
     1475      1473      1470
     1476     26310     26116
     1477     13655     13640
     1479      1157      1113
     1480       947       920
     1481      1859      1859
     1482      8314      8186
     1483       512       512
     1484       296       288
     1485      1117      1095
     1486      1371      1344
     1487      3240      3229
     1488      2935      2850
     1489      1518      1505
     1490     14766     14742
     1491      8314      8222
     1492      3451      3421
     1493      2113      2064
     1495      7612      7525
     1496      6801      6725
     1497      2960      2958
     1498      1897      1890
     1499     12988     12973
     1500      1441      1418
     1501      1130      1111
     1502     10323     10288
     1503       931       908
     1504      1766      1691
     1505      1039      1039
     1506      2490      2476
     1507       733       714
     1508       882       849
     1509     21938     21568
     1510      2792      2751
     1511      1343      1343
     1512      6595      6523
     1513      7540      7518
     1514       302       300
     1515       502       490
     1516     10355      9972
     1517      1284      1275
     1518       576       557
     1519      6404      6348
     1520       879       872
     1521      1744      1696
     1522      2146      2146
     1523      7595      7595
     1524      1186      1186
     1527     10998     10865
     1528       478       474
     1529      3141      3120
     1530      1088      1061
     1531      2473      2386
     1532       995       967
     1533      3802      3807
     1534      1497      1497
     1535      1166      1146
     1536      2809      2771
     1537      2319      2302
     1538      1691      1681
     1541     10074     10069
     1542       861       851
     1543       545       529
     1544       279       273
     1545      8877      8381
     1546      2026      2016
     1547       638       621
     1548      1677      1663
     1549      2906      2906
     1550       618       618
     1551      3286      3249
     1552       817       787
     1554     22501     22520
     1555       893       880
     1556      1990      1976
     1557       325       322
     1558       787       787
     1559     12269     12192
     1560      1446      1427
     1561     24714     24475
     1562      1036      1020
     1563      2609      2609
     1564      7934      7769
     1565      8330      8224
     1566      7555      7449
     1567      1970      1894
     1568       576       574
     1569      2623      2594
     1570      3414      3414
     1571      2644      2632
     1572      3237      3155
     1574      4058      3881
     1575       708       690
     1576       888       889
     1577      4264      4226
     1578      4931      4909
     1579      2507      2473
     1580     12548     12489
     1581     16472     15684
     1582      8868      8560
     1583       821       805
     1584       357       350
     1585      4510      4483
     1587     14141     13804
     1588      1135      1091
     1589     10471     10414
     1590       504       494
     1592      3327      3182
     1593      2435      2357
     1594      3474      3447
     1595     31208     30972
     1596      6151      6107
     1597     10809     10624
     1598      9027      8838
     1599      3166      3154
     1600       349       349
     1601       903       893
     1602      6892      6781
     1603      4205      4143
     1604      3710      3710
     1605      2566      2509
     1606     40842     40842
     1607      7011      7011
     1608      2587      2551
     1609      7394      7303
     1610      2702      2654
     1611      4343      4079
     1612      1588      1588
     1613       492       488
     1614     22666     22464
     1615      1063      1051
     1616      1283      1274
     1617      5754      5568
     1618      1399      1402
     1619       834       828
     1620      1090      1088
     1621       311       311
     1622      2490      2490
     1623     15833     15715
     1624      5481      5469
     1625      3752      3737
     1626      6712      6488
     1627     13437     12963
     1628       491       476
     1629       673       662
     1630      2692      2692
     1631       688       682
     1632      7960      7774
     1633      8862      8547
     1639      2587      2576
     1640      4955      4955
     1642     13080     12802
     1643     15015     14405
     1645      6370      6293
     1646      2760      2760
     1647     11969     11810
     1648      4998      4998
     1649       582       557
     1650      4935      4935
     1652       134       134
     1654     28453     27755
     1655       514       514
     1656      1723      1684
     1660      9586      9503
     1661      1284      1284
     1662       109       109
     1665     10356     10325
     1668      4159      4159
     1675        73        73
     1676      5564      1166
     1682      6864      6891
     1683      2096      2096
     1687      6931       729
     1688      8049      8049
     1690      1403      1379
     1691      1671      1671
     1692     11368     11368
     1694      2529      2529
     1697      8145      7983
     1699      5063      4766
     1701      4300      4300
     1702     15130     14953
     1708       377       377
     1711      9687      9687
     1712      2233      2233
     1713      6745      6649
     1714       196       196
     1715     11314     11314
     1716     15744     15821
     1719       909       898
     1723      4749      4749
     1724     23001     21448
     1726      3235      3235
     1727      1188      1188
     1728      1046      1046
     1729      5101      5054
     1734      8127      8127
     1740       153       155
     1741       402       399
     1744      2574      2537
     1748      2714      2665
     1752       474       472
     1753      8916      8916
     1757        83        83
     1758      8162      8162
     1759     34254     34007
     1761      9827      9827
     1762      2885      2885
     1763      3572      3568
     1765     17448     17447
     1766      1442      1445
     1772      3951      3910
     1773       146       146
     1774       458       458
     1776      5535      5408
     1777     29505     28740
     1782       937       937
     1783      1587      1587
     1784      5913      5824
     1786      1669      1665
     1787       989       947
     1790      4760      4681
     1791     24749     24736
     1793      1276      1276
     1794      5867      5790
     1796      3454      3404
     1797      1376      1375
     1805       320       320
     1808       888       888
     1813     95818     95818
     1818     10275     10257
     1824      5048      5048
     1827      1286      1276
     1829      8903      8465
     1830       107       107
     1831       102       102
     1832      5723      5723
     1834      1536      1536
     1836      4606      4606
     1842      1254      1254
     1844       537       537
     1849      1139      1143
     1851      4300      4300
     1855       619       619
     1856      2365      2325
     1861      1513      1512
     1862      1493      1468
     1863       402       402
     1866      3097      3107
     1867      8450      8368
     1868      2421      2421
     1869      2408      2408
     1870       589       586
     1871    163056    163056
     1872      2423      2423
     1880       283       283
     1882     17547     17279
     1885     40698     40698
     1887       589       589
     1891      2373      2379
     1894      5384      5384
     1896      1631      1624
     1898      4920      4920
     1899       725       720
     1902       661       661
     1905      1570      1573
     1907     28108     28321
     1910      8868      8757
     1911       228       228
     1912       318       318
     1913      3972      3851
     1915       245       245
     1916      5030      5141
     1918      9705      9658
     1920      2128      2110
     1922      9051      8840
     1923     24252     24252
     1925       178       178
     1926    190253    190253
     1927      2550      2550
     1928     20521     20210
     1930       348       350
     1931      7076      6990
     1932     13023     12854
     1933       112       112
     1935    112849    112849
     1936      1062      1047
     1938       129       117
     1942       512       503
     1943      2434      2403
     1944       169       169
     1945     32971     32971
     1946      1422      1409
     1947    180069    180124
     1948     74139     74139
     1949    137739    137754
     1951     46059     46057
     1952     63555     63555
     1955      7355      7307
     1960        66        66
     1963      5514      5525
     1968      1694      1656
     1969      1135      1135
     1970     14579     14585
     1973     56530     56530
     1974       223       223
     1975      5013      5008
     1976      1760      1760
     1979      1188      1191
     1980      7409      7421
     1982     27507     27242
     1985      2552      2552
     1986       407       409
     1987       954       954
     1991      8094      8043
     1992       115       115
